txn_id,account_id,timestamp,amount,currency,merchant,category
t1,A1,2026-04-28T10:15:00Z,100.00,USD,Amazon,retail
t2,A1,2026-04-28T11:00:00Z,50.00,CHF,Coop,groceries
t3,A2,2026-04-29T09:30:00Z,80.00,EUR,UBS,banking
t4,A2,2026-04-29T12:00:00Z,12.00,GBP,Tesco,retail
t5,,2026-04-29T12:10:00Z,10.00,CHF,Migros,groceries
t6,A1,2026-04-28T12:30:00Z,0,CHF,Coop,groceries
t7,A1,2026-04-28T14:00:00Z,-25.00,CHF,Refund,refund
t8,A1,2026-04-28T15:00:00Z,200.00,CHF,Salary,income
t9,A2,2026-04-29T10:00:00Z,150.00,EUR,Migros,groceries
t10,A3,2026-04-28T08:00:00Z,500.00,USD,Ikea,retail
t11,A3,2026-04-29T08:00:00Z,300.00,CHF,Nestlé,food
t12,A3,2026-04-29T09:00:00Z,100.00,CHF,Swisscom,telecom
t13,,2026-04-28T10:00:00Z,50.00,USD,Amazon,retail
t14,A4,2026-04-28T10:00:00Z,abc,CHF,Coop,groceries
t15,A4,2026-04-28T10:00:00Z,75.00,US,Nike,retail
t16,A4,2026-04-28T10:00:00Z,75.00,USDX,Nike,retail
t17,A4,2026-04-28T10:15:00Z,60.00,EUR,Zara,retail
t18,A5,2026-04-28T10:15:00,90.00,CHF,Migros,groceries
t19,A5,2026-04-28T10:15:00+01:00,90.00,CHF,Migros,groceries
t20,,,,,,
t21,A5,2026-04-28T10:15:00Z,10000000.00,USD,SwissRe,insurance
t22,A5,2026-04-28T10:15:00Z,-10000000.00,USD,SwissRe,insurance
t23,A6,2026-04-29T10:15:00Z,50.00,GBP,Tesco,retail
t24,A6,2026-04-29T11:00:00Z,100.00,CHF,UBS,banking
t25,A1,2026-04-29T10:00:00Z,60.00,CHF,Migros,groceries
